userWallet,total_borrow_usd,total_deposit_usd,total_redeem_usd,total_repay_usd,repay_ratio,deposit,borrow,repay,redeemunderlying,action_types_used,tx_count,repay_delay_days,days_active,unique_assets,asset_mismatch,credit_score,score_class
0x002775390698ef16589bb22bba37ae7906ae2f36,83.68991069080585,93.46124873657939,11.659678779087674,18.55328268585793,0.22169079322361124,17,7,5,1,4,30,5.0,20,5,False,820,Strong
0x0027c6cd01364a3c5d29f72269b36dfe85628193,0.0,1.8864509259060724,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x0027f7335d610f15b325baa5798414548720fcaa,1568.6763662421108,5708.19800378419,4252.4861684744465,1571.6110933811847,1.0018708302121644,6,2,2,3,4,13,0.0,1,2,False,1000,Prime (AAA)
0x00283b611db7844cb5677b311afd67c8e3078518,0.0,7.20152067392015,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,0.0,0.03737532010034612,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,0.0,2.123490954986433,0.0,0.0,0.0,2,0,0,0,1,2,0.0,3,1,0,760,Moderate
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,0.0,1.1058755718750974,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x002aea16059a7d4bef638a03b61a9e80ef07e745,6814.979034488696,10411.532254313322,21618.062817298585,5838.228517532286,0.8566759322349563,12,10,5,14,4,41,33.0,82,6,True,850,Strong
0x002bb13a55bf4525f02717708dd4534ecc475193,0.0,3.1415513028579416,0.0,0.0,0.0,2,0,0,0,1,2,0.0,0,1,0,760,Moderate
0x002c77a71d54e6da4b28690fe1676752a74a67eb,0.0,1.1597473478486582,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x002cd2707daccbd5f3f192a565fca0a2cea021a6,2.7225309172016465,5.481559226287328,5.126801487401541,2.7225309172016465,1.0,2,1,1,1,4,5,0.0,18,2,False,1000,Prime (AAA)
0x002d2715b179d0db3e17cc28317a98f2f65e6884,94093.84402461602,217160.85492523792,178632.4883647288,75721.2588121042,0.8047418999301874,98,64,38,53,4,253,10.0,101,8,True,900,Prime (AAA)
0x002d59b6a7b3483c8c1ef38c90cbe7790aeaea50,0.0,1.058311089277293,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,4507.462083128547,8042.91989441287,1506.8694822364216,1386.103831655126,0.3075131428932745,5,5,16,3,4,29,2.0,128,4,False,850,Strong
0x002de04d579930686698abab5f48bda0b24fb9fc,43067.64650300531,82757.8333975314,71685.78426267089,43774.100999620496,1.016403368978286,32,13,15,25,4,85,0.0,80,7,False,1000,Prime (AAA)
0x002e5e69ae7c8999834ee24aeb5c26ad05433820,2495.5332672426603,8185.806955103062,8185.806955103062,2495.5332672426603,1.0,1,1,1,1,4,4,0.0,0,2,False,1000,Prime (AAA)
0x002e7ea05d6721a04cd36ab5e9f2c72338d7f7f3,0.0,15.030517322502183,1752.4937615372405,0.0,0.0,1,0,0,5,2,6,0.0,71,3,0,830,Strong
0x002eba74e10ff40a1bc1cfa2b9684f9e28f8dea7,0.0,0.012361424916557983,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,3061.4026722072385,7503.932118568444,2336.6980770088976,2528.0281749432893,0.8257744719091814,61,26,12,9,4,108,1.0,105,6,True,900,Prime (AAA)
0x0030040e8d836ac3e546c354f9b373e70a14deeb,0.0,0.0,44888.71384039049,0.0,0.0,0,0,0,2,1,2,0.0,0,2,0,760,Moderate
0x00301da1d3b20fd6b8451a791a8b1a5e20599fb8,11215.501171454891,21416.47567481105,0.0,0.0,0.0,35,23,0,0,2,58,-1.0,40,6,True,450,Weak
0x00305f0dc87d6bf12ac07e37ac0d2336d5906b93,0.0,1.815047297099417,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x003064605a8677d5b2e8def620ac67d8f1f1b5ed,0.0,196.7159780669421,197.00198284009699,0.0,0.0,1,0,0,2,2,3,0.0,33,1,0,800,Strong
0x003094a91a3b5523bc601b221f80183bd347e9ae,0.0,2.259609878203448,0.0,0.0,0.0,2,0,0,0,1,2,0.0,5,1,0,760,Moderate
0x0030a2c2268c9faafeae8ea22802db8b3c87f82c,0.0,0.04768792449483425,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,125571.6028399035,94769.29623780605,94266.2535656914,125437.02966043795,0.9989283151889276,37,11,11,8,4,67,0.0,73,6,False,1000,Prime (AAA)
